tx_one_gbe                  3 800dc000         10000            1 
d3_ss_bram                  3 800ec000         20000            0 
d4_ss_bram                  3 8010c000         20000            0 
d5_ss_bram                  3 8012c000         20000            0 
pkt_ctrs1_ss_bram           3 8014c000         40000            0 
pkt_ctrs_compare1_ss_bram   3 8018c000         10000            0 
clk_mhz                     1 8019c000         4                0 
d3_ss_ctrl                  3 8019c004         4                0 
d3_ss_status                1 8019c008         4                0 
d4_ss_ctrl                  3 8019c00c         4                0 
d4_ss_status                1 8019c010         4                0 
d5_ss_ctrl                  3 8019c014         4                0 
d5_ss_status                1 8019c018         4                0 
data_rx_valmir              1 8019c01c         4                0 
err_marker1                 1 8019c020         4                0 
err_pkt_ctr1                1 8019c024         4                0 
err_pkt_ctr_step1           1 8019c028         4                0 
err_ramp1                   1 8019c02c         4                0 
err_valid_raw1              1 8019c030         4                0 
err_walk1                   1 8019c034         4                0 
pkt_ctrs1_ss_ctrl           3 8019c038         4                0 
pkt_ctrs1_ss_status         1 8019c03c         4                0 
pkt_ctrs_compare1_ss_ctrl   3 8019c040         4                0 
pkt_ctrs_compare1_ss_status 1 8019c044         4                0 
rx_badframe1                1 8019c048         4                0 
rx_control1                 3 8019c04c         4                0 
rx_eof1                     1 8019c050         4                0 
rx_overrun1                 1 8019c054         4                0 
rx_src_ip                   1 8019c058         4                0 
rx_src_port                 1 8019c05c         4                0 
rx_valid1                   1 8019c060         4                0 
tx_afull1                   1 8019c064         4                0 
tx_control                  3 8019c068         4                0 
tx_overflow1                1 8019c06c         4                0 
sys_block                   1 8019c070         20               3 
sys_board_id                1 8019c070         4                3 
sys_rev                     1 8019c074         4                3 
sys_rev_rcs                 1 8019c07c         4                3 
sys_scratchpad              3 8019c080         4                3 
sys_clkcounter              1 8019c084         4                3 
