tx_one_gbe                      3 800dc000         10000           
d3_ss_bram                      3 800ec000         20000           
d4_ss_bram                      3 8010c000         20000           
d5_ss_bram                      3 8012c000         20000           
fir_filter_snapshoot_ila_bram   3 8014c000         4000            
pkt_ctrs1_ss_bram               3 80150000         40000           
pkt_ctrs_compare1_ss_bram       3 80190000         10000           
addr_data_fifo                  3 801a0000         4               
addr_data_gbe                   3 801a0004         4               
clk_mhz                         1 801a0008         4               
d3_ss_ctrl                      3 801a000c         4               
d3_ss_status                    1 801a0010         4               
d4_ss_ctrl                      3 801a0014         4               
d4_ss_status                    1 801a0018         4               
d5_ss_ctrl                      3 801a001c         4               
d5_ss_status                    1 801a0020         4               
data_rx_valmir                  1 801a0024         4               
debug_rx_data_mem_fifo          1 801a0028         4               
debug_rx_data_mem_gbe           1 801a002c         4               
dec_factor                      3 801a0030         4               
err_marker1                     1 801a0034         4               
err_pkt_ctr1                    1 801a0038         4               
err_pkt_ctr_step1               1 801a003c         4               
err_ramp1                       1 801a0040         4               
err_valid_raw1                  1 801a0044         4               
err_walk1                       1 801a0048         4               
fir_filter_snapshoot_ila_ctrl   3 801a004c         4               
fir_filter_snapshoot_ila_status 1 801a0050         4               
pkt_ctrs1_ss_ctrl               3 801a0054         4               
pkt_ctrs1_ss_status             1 801a0058         4               
pkt_ctrs_compare1_ss_ctrl       3 801a005c         4               
pkt_ctrs_compare1_ss_status     1 801a0060         4               
read_gbe_or_fifo                3 801a0064         4               
rx_badframe1                    1 801a0068         4               
rx_control1                     3 801a006c         4               
rx_eof1                         1 801a0070         4               
rx_overrun1                     1 801a0074         4               
rx_valid1                       1 801a0078         4               
tx_afull1                       1 801a007c         4               
tx_control                      3 801a0080         4               
tx_overflow1                    1 801a0084         4               
vaild_rx_valmir1                1 801a0088         4               
sys_block                       1 801a008c         20              
sys_board_id                    1 801a008c         4               
sys_rev                         1 801a0090         4               
sys_rev_rcs                     1 801a0098         4               
sys_scratchpad                  3 801a009c         4               
sys_clkcounter                  1 801a00a0         4               
